instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
bins_East.inp,4346566.5,4351407.5,4346143.5,4360269.0,4362794.5,4355505.0,4329946.5,4331111.0,4331037.0,4349112.5,4361522.0,4359516.0,4372671.5,4340651.0,4353781.0,4343637.0,4343925.5,4358188.0,4328202.5,4374348.5,4369267.5,4355677.5,4342911.5,4357042.5,4327466.5,4361199.0,4362530.5,4395776.5,4356744.0,4385326.5,4380872.5,4386360.0,4355216.5,4324802.5,4357037.0,4346339.5,4355241.0,4346066.0,4352131.0,4333349.0,4362179.0,4339264.5,4343717.5,4364196.5,4345696.0,4334284.0,4361292.0,4387755.0,4356877.0,4366738.5
bins_Middle.inp,2971242.0,2975448.0,2986224.0,2969598.0,2980145.75,2978471.25,2978232.5,2971661.0,2978721.75,2975711.5,2975828.0,2982405.0,2973533.75,2973282.25,2970550.5,2979577.5,2976391.0,2982941.75,2980310.5,2964867.25,2974885.25,2980613.75,2972317.5,2974766.0,2978010.75,2974487.0,2971647.5,2978661.25,2986885.0,2968879.5,2978130.5,2973644.25,2965119.5,2977752.75,2970702.75,2982462.25,2972712.0,2971344.5,2968394.75,2967482.25,2971621.0,2972534.75,2981220.25,2973192.25,2977929.75,2969761.5,2975650.5,2970674.5,2969122.75,2968644.75
bins_R3.inp,180676.2344,180815.2812,180714.2188,180726.5,180729.7188,180716.9531,180800.0781,180779.6719,180842.125,180708.7656,180661.1406,180776.3438,180645.5625,180707.8438,180672.8281,180744.7344,180930.125,180663.5781,180637.3281,180918.2344,180700.8906,180621.0156,180695.125,180760.6719,180734.3906,180713.5469,180736.6406,180913.7969,180609.5625,180655.7031,180890.3281,180707.6875,180876.4219,180737.9844,180707.5312,180674.2656,180635.8594,180661.9375,180768.7969,180823.0156,180878.3281,180673.5312,180705.3125,180597.9062,180688.0469,180626.5469,180676.9531,180760.1094,180736.5156,180740.875
bins_R6.inp,344684.4375,344719.25,344663.2188,344803.5938,344535.0,344662.9062,344726.5625,344459.4375,344601.2812,344648.4062,344823.625,344635.5625,344626.625,344529.375,344670.625,344690.5312,344634.375,344427.875,344692.375,344592.5,344812.4375,344481.2188,344736.6875,344644.2188,344769.75,344684.4688,344670.1875,344655.5,344577.6875,344663.3438,344603.5625,344407.0,344585.5938,344601.0938,344661.5312,344672.5312,344589.25,344526.1562,344631.2188,344543.9688,344602.9062,344437.1875,344787.1562,344498.7188,344692.4688,344722.9062,344854.4375,344801.125,344808.375,344630.3125
bins_R9.inp,507886.9688,508206.75,507925.875,507918.875,507957.9062,508014.75,508052.7812,508145.3438,507842.9688,507873.5312,508067.7188,507937.8125,508087.0,507922.0,507975.1562,508028.6562,507883.1875,508236.1875,508154.5625,507959.5625,508203.6562,508071.3125,507984.875,507996.9688,508020.875,507941.8438,508067.7188,508022.7812,508173.8125,507949.5625,508007.0625,507973.0625,508064.375,507918.6562,507962.125,508026.0312,507975.1875,507941.6562,507809.4688,508053.4375,508025.0938,507827.5,508175.9062,508097.7188,507970.7812,508010.9375,507787.6562,508094.625,508160.9688,508065.3438
bins_R12.inp,669092.8125,668954.625,668785.5625,668897.6875,668856.3125,668804.5625,669105.9375,668993.1875,668973.6875,668658.6875,668666.375,668800.4375,668889.5,668709.375,669008.625,668752.0,668690.875,668970.125,669002.1875,669009.5,668642.875,668784.0625,668892.9375,669102.75,668804.125,669113.5625,668783.5625,669055.6875,668908.0625,668992.25,668985.5,668539.25,668581.6875,668435.0,668908.8125,669013.375,668865.125,668693.6875,668771.375,668609.25,668635.75,668709.5,668846.125,668837.0,668721.125,669028.625,668789.8125,668817.0,669072.25,668611.0625
bins_South.inp,3008935.25,3060160.25,3002919.0,3007969.5,3025115.5,3022114.5,2999677.0,3012448.0,2996532.5,3023756.75,3030230.75,3004348.0,3000703.5,3053549.5,3029628.75,3006645.25,3029487.5,3008539.0,3011943.25,3011106.5,3006882.25,3023424.75,2998998.0,3016207.0,3020372.25,2999363.0,3005329.75,3037248.75,2996254.0,3028907.75,3007620.25,3033093.5,3005349.75,3013696.0,3010103.25,3026239.25,3003094.5,3002695.5,2999833.75,2997656.0,3008984.0,3031103.75,3012179.5,3004837.0,3004823.25,3018124.5,3026615.0,3026324.0,3014238.5,3027910.75
bins_West.inp,4152380.0,4125695.75,4116996.5,4115344.25,4126108.25,4108332.0,4124659.5,4109920.0,4134176.25,4147079.0,4142069.0,4111165.25,4135225.5,4175600.0,4199022.5,4105307.75,4104212.25,4115179.5,4158170.5,4111278.25,4155533.75,4117346.5,4144130.25,4177457.75,4140445.25,4154214.75,4141333.0,4133917.25,4101686.0,4105111.5,4107222.25,4123185.75,4115045.25,4148336.75,4156990.0,4130183.5,4104434.5,4124682.5,4164717.75,4128797.25,4113102.75,4127388.25,4169419.75,4125532.0,4193254.75,4109281.0,4168034.25,4202122.0,4116831.75,4121550.75
instance,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
bins_East.inp,13597,12226,16673,15762,14075,15668,15758,15232,15223,14925,15790,14559,16626,14800,14583,11695,15300,14845,12456,14678,14971,14999,16037,15098,16088,16282,14804,14905,14190,15531,15612,14794,14544,14681,15094,14832,15159,15322,11557,14360,16250,13624,14196,15204,15654,15468,13468,15717,14750,16677
bins_Middle.inp,15738,12958,12333,13183,14161,12953,15373,17944,11639,17797,16054,19710,12233,13229,19143,14004,16797,13025,19339,16599,14261,17138,13537,13876,17760,18259,17328,17078,12522,13478,18554,15396,18057,13423,14302,18167,13992,16810,15714,17799,12632,16934,15241,16873,18974,15059,18111,19002,17854,18333
bins_R3.inp,1271,1270,1253,1258,1269,1291,1291,1258,1270,1242,1245,1285,1245,1283,1268,1245,1284,1253,1272,1286,1310,1209,1203,1303,1270,1257,1252,1307,1226,1269,1281,1271,1273,1305,1266,1244,1247,1245,1282,1271,1291,1275,1281,1269,1289,1259,1222,1260,1223,1283
bins_R6.inp,1641,1685,1690,1659,1678,1612,1648,1703,1670,1682,1672,1670,1658,1619,1634,1681,1688,1673,1650,1673,1683,1667,1690,1659,1668,1662,1653,1676,1645,1658,1634,1600,1675,1726,1612,1631,1649,1663,1669,1654,1673,1692,1649,1625,1699,1661,1689,1659,1644,1640
bins_R9.inp,2018,2061,1986,1998,2015,1980,2018,1995,1966,2010,2010,2009,1998,1998,1987,2002,2017,2066,2036,2006,2003,2011,2025,2006,2012,1986,2002,2019,1996,2015,1979,2011,1995,1996,2028,2002,2024,1993,1990,2000,2017,1999,2004,2051,2031,2036,1986,2004,2005,2023
bins_R12.inp,2393,2374,2327,2385,2426,2403,2419,2401,2381,2404,2410,2365,2373,2337,2392,2371,2388,2391,2409,2361,2394,2422,2430,2411,2365,2408,2353,2469,2380,2388,2383,2368,2370,2334,2397,2396,2378,2390,2403,2408,2382,2366,2372,2346,2371,2451,2333,2341,2405,2356
bins_South.inp,8324,9293,9674,7991,10411,10654,9232,6943,9166,9427,10119,6633,9949,7985,10789,8194,9394,10646,8611,10237,9508,7543,8677,6542,7872,8667,9538,7275,8248,7615,8637,9992,8261,7148,7968,8988,8759,8954,7871,7300,8798,9341,10214,9756,9314,9558,8459,7584,9844,8566
bins_West.inp,8314,9127,8870,8282,7348,7614,9094,9123,7751,9079,8907,9275,9055,8583,9083,8895,8788,8997,8738,9268,9079,8602,8090,9425,7568,9125,8850,8300,8594,9460,9060,6922,8298,8815,9637,8993,8099,8724,9169,8931,8637,8873,9167,9296,8349,9450,9155,8660,9740,6419
