instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9
X-n101-k25.vrp,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0,27591.0
X-n106-k14.vrp,26362.0,26362.0,26362.0,26362.0,26362.0,26362.0,26362.0,26362.0,26362.0,26362.0
X-n110-k13.vrp,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0,14971.0
X-n115-k10.vrp,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0,12747.0
X-n120-k6.vrp,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0,13332.0
X-n125-k30.vrp,55539.0,55539.0,55539.0,55539.0,55539.0,55539.0,55539.0,55539.0,55539.0,55539.0
X-n129-k18.vrp,28945.0,28940.0,28942.0,28948.0,28948.0,28948.0,28948.0,28948.0,28944.0,28940.0
X-n134-k13.vrp,10916.0,10916.0,10916.0,10916.0,10916.0,10917.0,10916.0,10916.0,10916.0,10916.0
X-n139-k10.vrp,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0,13590.0
X-n143-k7.vrp,15700.0,15700.0,15700.0,15700.0,15718.0,15700.0,15700.0,15700.0,15700.0,15700.0
X-n148-k46.vrp,43448.0,43448.0,43448.0,43448.0,43448.0,43448.0,43448.0,43448.0,43448.0,43448.0
X-n153-k22.vrp,21225.0,21225.0,21225.0,21225.0,21225.0,21225.0,21225.0,21225.0,21225.0,21225.0
X-n157-k13.vrp,16876.0,16876.0,16876.0,16876.0,16876.0,16876.0,16876.0,16876.0,16876.0,16876.0
X-n162-k11.vrp,14147.0,14138.0,14138.0,14138.0,14138.0,14138.0,14138.0,14147.0,14138.0,14147.0
X-n167-k10.vrp,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0
X-n172-k51.vrp,45607.0,45607.0,45607.0,45607.0,45607.0,45607.0,45607.0,45607.0,45607.0,45607.0
X-n176-k26.vrp,47812.0,47812.0,47812.0,47812.0,47812.0,47812.0,47812.0,47822.0,48060.0,47812.0
X-n181-k23.vrp,25569.0,25569.0,25569.0,25569.0,25569.0,25569.0,25569.0,25569.0,25569.0,25569.0
X-n186-k15.vrp,24147.0,24147.0,24147.0,24147.0,24147.0,24145.0,24147.0,24147.0,24147.0,24147.0
X-n190-k8.vrp,16980.0,16981.0,16980.0,16980.0,16981.0,16980.0,16980.0,16980.0,16981.0,16980.0
X-n195-k51.vrp,44270.0,44241.0,44241.0,44225.0,44225.0,44238.0,44241.0,44241.0,44225.0,44241.0
X-n200-k36.vrp,58624.0,58624.0,58631.0,58622.0,58828.0,58679.0,58622.0,58624.0,58578.0,58828.0
X-n204-k19.vrp,19565.0,19565.0,19565.0,19565.0,19565.0,19565.0,19565.0,19565.0,19565.0,19565.0
X-n209-k16.vrp,30661.0,30671.0,30659.0,30661.0,30665.0,30656.0,30665.0,30671.0,30659.0,30656.0
X-n214-k11.vrp,10861.0,10867.0,10870.0,10870.0,10873.0,10870.0,10868.0,10872.0,10870.0,10872.0
X-n219-k73.vrp,117595.0,117595.0,117595.0,117595.0,117595.0,117595.0,117595.0,117595.0,117595.0,117595.0
X-n223-k34.vrp,40437.0,40451.0,40437.0,40445.0,40493.0,40445.0,40445.0,40437.0,40445.0,40437.0
X-n228-k23.vrp,25743.0,25796.0,25782.0,25777.0,25782.0,25753.0,25793.0,25796.0,25776.0,25782.0
X-n233-k16.vrp,19261.0,19238.0,19261.0,19247.0,19261.0,19261.0,19261.0,19266.0,19244.0,19268.0
X-n237-k14.vrp,27042.0,27042.0,27042.0,27042.0,27042.0,27042.0,27042.0,27042.0,27042.0,27043.0
X-n242-k48.vrp,82765.0,82851.0,82789.0,82789.0,82852.0,82792.0,82790.0,82848.0,82764.0,82764.0
X-n247-k50.vrp,37274.0,37277.0,37274.0,37274.0,37288.0,37274.0,37294.0,37274.0,37274.0,37274.0
X-n251-k28.vrp,38684.0,38751.0,38751.0,38791.0,38757.0,38740.0,38699.0,38759.0,38707.0,38740.0
X-n256-k16.vrp,18880.0,18880.0,18880.0,18880.0,18880.0,18880.0,18880.0,18880.0,18880.0,18880.0
X-n261-k13.vrp,26654.0,26644.0,26634.0,26627.0,26638.0,26586.0,26599.0,26632.0,26622.0,26673.0
X-n266-k58.vrp,75585.0,75761.0,75735.0,75777.0,75604.0,75655.0,75690.0,75764.0,75693.0,75779.0
X-n270-k35.vrp,35358.0,35316.0,35309.0,35309.0,35312.0,35354.0,35309.0,35309.0,35316.0,35309.0
X-n275-k28.vrp,21245.0,21245.0,21245.0,21245.0,21245.0,21245.0,21245.0,21245.0,21245.0,21245.0
X-n280-k17.vrp,33661.0,33537.0,33597.0,33599.0,33558.0,33660.0,33651.0,33621.0,33588.0,33624.0
X-n284-k15.vrp,20242.0,20258.0,20242.0,20257.0,20257.0,20263.0,20243.0,20258.0,20250.0,20242.0
X-n289-k60.vrp,95425.0,95443.0,95377.0,95361.0,95287.0,95444.0,95437.0,95251.0,95461.0,95295.0
X-n294-k50.vrp,47239.0,47263.0,47240.0,47219.0,47238.0,47254.0,47240.0,47180.0,47222.0,47249.0
X-n298-k31.vrp,34294.0,34286.0,34308.0,34259.0,34303.0,34301.0,34263.0,34273.0,34283.0,34288.0
X-n303-k21.vrp,21791.0,21802.0,21802.0,21744.0,21817.0,21744.0,21802.0,21791.0,21802.0,21804.0
X-n308-k13.vrp,25891.0,25900.0,25921.0,25862.0,25897.0,25897.0,25897.0,25921.0,25921.0,25897.0
X-n313-k71.vrp,94100.0,94251.0,94149.0,94221.0,94218.0,94084.0,94234.0,94216.0,94226.0,94100.0
X-n317-k53.vrp,78355.0,78355.0,78355.0,78355.0,78355.0,78355.0,78359.0,78355.0,78355.0,78355.0
X-n322-k28.vrp,29899.0,29865.0,29898.0,29891.0,29854.0,29854.0,29915.0,29854.0,29866.0,29870.0
X-n327-k20.vrp,27592.0,27576.0,27596.0,27583.0,27591.0,27556.0,27575.0,27593.0,27576.0,27609.0
X-n331-k15.vrp,31103.0,31103.0,31103.0,31103.0,31103.0,31103.0,31103.0,31103.0,31103.0,31103.0
X-n336-k84.vrp,139334.0,139311.0,139260.0,139300.0,139644.0,139366.0,139532.0,139522.0,139347.0,139249.0
X-n344-k43.vrp,42165.0,42092.0,42201.0,42143.0,42064.0,42126.0,42166.0,42092.0,42092.0,42092.0
X-n351-k40.vrp,25957.0,25965.0,25960.0,25981.0,26001.0,25947.0,25988.0,25950.0,25936.0,25969.0
X-n359-k29.vrp,51567.0,51571.0,51540.0,51546.0,51507.0,51507.0,51621.0,51545.0,51635.0,51514.0
X-n367-k17.vrp,22814.0,22814.0,22814.0,22814.0,22814.0,22814.0,22814.0,22814.0,22814.0,22815.0
X-n376-k94.vrp,147713.0,147725.0,147713.0,147713.0,147713.0,147714.0,147713.0,147714.0,147713.0,147713.0
X-n384-k52.vrp,66034.0,66031.0,66113.0,66024.0,66078.0,66040.0,66040.0,66047.0,66190.0,66057.0
X-n393-k38.vrp,38300.0,38290.0,38290.0,38293.0,38290.0,38290.0,38287.0,38290.0,38290.0,38301.0
X-n401-k29.vrp,66219.0,66187.0,66217.0,66263.0,66236.0,66229.0,66214.0,66223.0,66210.0,66228.0
X-n411-k19.vrp,19776.0,19774.0,19778.0,19756.0,19759.0,19774.0,19776.0,19776.0,19773.0,19776.0
X-n420-k130.vrp,107890.0,107881.0,107898.0,107825.0,107877.0,107873.0,107910.0,107838.0,107871.0,107885.0
X-n429-k61.vrp,65504.0,65556.0,65550.0,65502.0,65594.0,65547.0,65532.0,65609.0,65515.0,65525.0
X-n439-k37.vrp,36395.0,36395.0,36414.0,36395.0,36400.0,36395.0,36395.0,36395.0,36395.0,36414.0
X-n449-k29.vrp,55312.0,55341.0,55362.0,55337.0,55333.0,55396.0,55378.0,55369.0,55387.0,55369.0
X-n459-k26.vrp,24200.0,24172.0,24174.0,24158.0,24210.0,24172.0,24160.0,24180.0,24141.0,24173.0
X-n469-k138.vrp,222741.0,222977.0,222704.0,223053.0,222722.0,222363.0,222629.0,222793.0,222782.0,222945.0
X-n480-k70.vrp,89511.0,89532.0,89471.0,89503.0,89569.0,89554.0,89524.0,89633.0,89584.0,89575.0
X-n491-k59.vrp,66643.0,66634.0,66583.0,66633.0,66648.0,66529.0,66558.0,66574.0,66653.0,66645.0
X-n502-k39.vrp,69231.0,69238.0,69233.0,69230.0,69227.0,69236.0,69227.0,69233.0,69227.0,69257.0
X-n513-k21.vrp,24201.0,24239.0,24230.0,24201.0,24239.0,24201.0,24231.0,24201.0,24201.0,24236.0
X-n524-k153.vrp,154993.0,154648.0,154607.0,154798.0,154786.0,154786.0,155014.0,154798.0,154608.0,154997.0
X-n536-k96.vrp,95483.0,95344.0,95456.0,95438.0,95541.0,95343.0,95362.0,95444.0,95486.0,95464.0
X-n548-k50.vrp,86707.0,86707.0,86707.0,86707.0,86707.0,86707.0,86775.0,86707.0,86707.0,86707.0
X-n561-k42.vrp,42792.0,42829.0,42787.0,42796.0,42764.0,42751.0,42820.0,42821.0,42807.0,42838.0
X-n573-k30.vrp,50802.0,50806.0,50792.0,50792.0,50746.0,50787.0,50752.0,50807.0,50804.0,50736.0
X-n586-k159.vrp,190775.0,190736.0,190841.0,190878.0,190703.0,190738.0,190878.0,190694.0,190703.0,190897.0
X-n599-k92.vrp,108612.0,108686.0,108740.0,108779.0,108642.0,108684.0,108612.0,108807.0,108655.0,108675.0
X-n613-k62.vrp,59653.0,59653.0,59626.0,59644.0,59685.0,59695.0,59775.0,59695.0,59618.0,59623.0
X-n627-k43.vrp,62332.0,62189.0,62267.0,62375.0,62207.0,62234.0,62194.0,62215.0,62216.0,62272.0
X-n641-k35.vrp,63798.0,63792.0,63768.0,63761.0,63779.0,63740.0,63783.0,63744.0,63769.0,63820.0
X-n655-k131.vrp,106780.0,106807.0,106797.0,106798.0,106801.0,106801.0,106808.0,106809.0,106810.0,106802.0
X-n670-k130.vrp,147487.0,147647.0,147131.0,147361.0,147482.0,147135.0,147070.0,147175.0,147066.0,147122.0
X-n685-k75.vrp,68568.0,68497.0,68395.0,68579.0,68464.0,68394.0,68339.0,68422.0,68495.0,68391.0
X-n701-k44.vrp,81955.0,82004.0,81983.0,81951.0,82209.0,82058.0,81985.0,81990.0,82027.0,81977.0
X-n716-k35.vrp,43438.0,43424.0,43449.0,43435.0,43448.0,43435.0,43467.0,43506.0,43448.0,43511.0
X-n733-k159.vrp,136292.0,136387.0,136274.0,136280.0,136441.0,136414.0,136371.0,136330.0,136466.0,136402.0
X-n749-k98.vrp,77520.0,77503.0,77486.0,77479.0,77486.0,77580.0,77430.0,77540.0,77606.0,77439.0
X-n766-k71.vrp,114679.0,114826.0,114697.0,114638.0,114810.0,114830.0,114752.0,114760.0,114843.0,114837.0
X-n783-k48.vrp,72555.0,72501.0,72572.0,72464.0,72502.0,72478.0,72580.0,72473.0,72532.0,72509.0
X-n801-k40.vrp,73428.0,73391.0,73388.0,73377.0,73439.0,73387.0,73311.0,73384.0,73424.0,73416.0
X-n819-k171.vrp,158778.0,158956.0,158900.0,158737.0,158768.0,158838.0,158776.0,158734.0,158791.0,158849.0
X-n837-k142.vrp,194079.0,194198.0,194165.0,194118.0,194236.0,193967.0,194173.0,194123.0,194220.0,194241.0
X-n856-k95.vrp,89019.0,89021.0,89105.0,89055.0,89052.0,89092.0,89046.0,89014.0,89001.0,89093.0
X-n876-k59.vrp,99466.0,99540.0,99423.0,99424.0,99446.0,99488.0,99412.0,99492.0,99436.0,99476.0
X-n895-k37.vrp,54093.0,54025.0,53981.0,54001.0,54006.0,53966.0,53978.0,53906.0,53986.0,54065.0
X-n916-k207.vrp,329928.0,329789.0,329853.0,329975.0,329933.0,329844.0,329875.0,330187.0,329891.0,329975.0
X-n936-k151.vrp,133063.0,133200.0,133019.0,133245.0,133134.0,133313.0,133182.0,133047.0,133231.0,133135.0
X-n957-k87.vrp,85564.0,85548.0,85539.0,85485.0,85517.0,85476.0,85533.0,85522.0,85467.0,85541.0
X-n979-k58.vrp,119083.0,119043.0,119271.0,119242.0,119159.0,119068.0,119242.0,119214.0,119212.0,119218.0
X-n1001-k43.vrp,72535.0,72472.0,72450.0,72445.0,72520.0,72561.0,72414.0,72513.0,72448.0,72529.0
instance,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
X-n101-k25.vrp,7331,7221,7118,7329,7310,7107,7359,7288,7274,7129
X-n106-k14.vrp,12804,12685,11267,13461,12520,12693,11482,11595,12017,13127
X-n110-k13.vrp,9795,9791,10027,10057,9723,10161,9714,9945,9993,9990
X-n115-k10.vrp,10524,10250,10319,10537,10421,10529,10326,10208,10511,10249
X-n120-k6.vrp,11287,11085,11204,10946,11026,11482,11051,11220,11067,11339
X-n125-k30.vrp,8304,7928,7752,8846,7747,8771,7976,7799,8080,9073
X-n129-k18.vrp,10895,10330,9888,10215,11769,11376,10794,11591,11654,11258
X-n134-k13.vrp,10479,10569,9416,10023,10062,9652,10074,9959,10456,10138
X-n139-k10.vrp,14056,13764,13858,13640,13921,13831,13793,14006,13849,13866
X-n143-k7.vrp,11563,10208,10982,11645,10909,10728,10898,10562,11959,10977
X-n148-k46.vrp,9441,9666,9467,9640,10099,9707,9622,9502,9921,9739
X-n153-k22.vrp,8849,9450,8412,8673,9191,9084,8641,9381,9301,8675
X-n157-k13.vrp,17951,18725,19288,18526,19632,18652,19208,18800,19742,18804
X-n162-k11.vrp,10965,10814,9796,10272,10981,10116,10013,11251,8943,11000
X-n167-k10.vrp,13025,12866,12506,12801,12447,12931,11955,12002,12697,12962
X-n172-k51.vrp,7918,8323,8340,8383,8375,8618,8912,7806,8404,8399
X-n176-k26.vrp,7287,7061,8323,7882,7663,7455,8297,9329,8634,7886
X-n181-k23.vrp,15774,15720,16663,15051,16263,14662,16103,16230,16669,16674
X-n186-k15.vrp,8458,10637,10974,8705,11444,9000,10341,10431,9004,10592
X-n190-k8.vrp,10785,12417,11408,10826,11880,12663,14001,11482,11598,11229
X-n195-k51.vrp,9099,7996,6905,6887,6907,7491,6927,7929,7763,6958
X-n200-k36.vrp,8449,8570,7725,8962,11101,13018,9545,9857,8480,10474
X-n204-k19.vrp,9770,9599,10016,9507,10179,9493,9877,10607,10082,9253
X-n209-k16.vrp,8790,8795,7716,8208,8788,8851,9914,9671,8209,7903
X-n214-k11.vrp,8382,8147,9799,9435,8676,9027,8822,9763,8789,9935
X-n219-k73.vrp,35309,34802,34415,34636,33383,32649,35258,33054,34715,34825
X-n223-k34.vrp,8978,7518,8152,7027,8309,7722,7837,7103,6678,7137
X-n228-k23.vrp,8122,9418,8577,10286,9593,10087,10507,9597,10588,8815
X-n233-k16.vrp,10650,10548,10653,9713,10295,10085,10158,11023,10314,8977
X-n237-k14.vrp,14775,15549,15216,15968,15260,14718,14226,15971,14844,16328
X-n242-k48.vrp,12184,12547,11630,10939,13814,10948,11271,11415,9549,10046
X-n247-k50.vrp,8720,9196,8943,10337,11543,8514,10285,9270,8715,10308
X-n251-k28.vrp,10477,11940,12292,12422,11043,10335,10328,11696,11381,9528
X-n256-k16.vrp,14740,15722,15977,16464,15818,15681,15321,16234,15309,15365
X-n261-k13.vrp,12671,12483,12726,11930,12748,11706,10707,11873,9190,13070
X-n266-k58.vrp,11461,13574,11756,14589,12466,11875,12084,13734,11391,15041
X-n270-k35.vrp,10028,10003,8063,8375,8227,11000,8228,8333,8767,8335
X-n275-k28.vrp,12337,13061,13638,12780,12403,12862,13445,13454,12741,12954
X-n280-k17.vrp,10048,9456,9342,9825,9259,12671,14537,9978,8773,15791
X-n284-k15.vrp,9880,11411,11043,9897,9638,8695,9656,9721,11004,9629
X-n289-k60.vrp,11976,13122,11674,10888,8354,10220,12723,10450,12882,9938
X-n294-k50.vrp,7697,7881,6860,6759,6574,8082,7118,7007,7267,7384
X-n298-k31.vrp,7493,7715,8655,7886,9032,7772,7547,7290,8521,8621
X-n303-k21.vrp,6655,7720,7203,6466,8142,6785,7025,6914,7015,7518
X-n308-k13.vrp,10755,11461,11976,10353,10315,9619,10784,11749,10679,10932
X-n313-k71.vrp,10387,9625,7868,10058,8212,8818,8269,8336,8366,10527
X-n317-k53.vrp,19866,19620,20747,20403,20453,21669,19941,20319,20361,19314
X-n322-k28.vrp,7383,8600,7635,7086,8352,7593,9389,7860,8743,8805
X-n327-k20.vrp,12929,13547,13014,13190,12846,12261,13138,11415,12683,13740
X-n331-k15.vrp,14497,14084,14716,13943,14871,14115,14239,13936,14086,15406
X-n336-k84.vrp,8334,8260,8277,8319,10853,6736,10325,8722,8875,8646
X-n344-k43.vrp,8058,7627,9445,7299,6756,9121,6820,7340,6838,8182
X-n351-k40.vrp,7570,8112,7558,8901,7803,7758,8284,7506,8249,6937
X-n359-k29.vrp,11766,10055,9091,10867,9480,10106,9247,9940,9101,10682
X-n367-k17.vrp,10899,11151,10509,10872,10770,10666,10889,10752,10533,10736
X-n376-k94.vrp,26168,31251,22996,25499,23852,28369,24095,26866,24954,24705
X-n384-k52.vrp,10399,12338,13286,11252,12102,12175,10716,10180,13347,10085
X-n393-k38.vrp,9452,8269,8994,10267,9175,8509,9421,8949,8531,9611
X-n401-k29.vrp,12817,11751,13348,11989,14860,12997,14141,13046,11995,12705
X-n411-k19.vrp,12988,12524,12140,11289,11277,11672,12624,12609,11212,11489
X-n420-k130.vrp,7102,7237,7163,7970,6689,6803,6699,7104,7169,7546
X-n429-k61.vrp,9661,10470,9426,10215,8977,8511,8885,9756,9343,9768
X-n439-k37.vrp,11461,11421,12091,11586,12626,11562,11576,11357,11354,11441
X-n449-k29.vrp,9655,8060,7859,8693,9131,10904,10108,11228,9605,10625
X-n459-k26.vrp,13530,10161,10609,9501,11476,10308,9900,10474,9583,10253
X-n469-k138.vrp,10049,10998,9081,11639,11957,8392,8914,11117,12401,11651
X-n480-k70.vrp,9821,11446,10531,11599,10462,11620,9605,9999,11662,11705
X-n491-k59.vrp,8069,8713,8147,7596,9295,9268,8628,8429,9713,8432
X-n502-k39.vrp,15946,14890,15435,16101,15537,14911,15396,16513,15776,16728
X-n513-k21.vrp,12028,15685,14393,11604,13714,11808,14160,12018,12345,14418
X-n524-k153.vrp,8893,8255,8938,8880,8821,8637,8403,8853,8864,9714
X-n536-k96.vrp,10309,8123,10028,9314,10595,8178,8836,10275,11402,10296
X-n548-k50.vrp,12573,12336,12179,12126,12134,11931,14865,12298,12005,11955
X-n561-k42.vrp,8432,9344,8076,8816,7595,7794,7538,8473,8580,8446
X-n573-k30.vrp,12979,12384,13384,12059,11066,12248,12574,12579,13390,11330
X-n586-k159.vrp,10164,11163,10587,9790,11069,11259,10532,11643,11951,11291
X-n599-k92.vrp,9764,10057,12993,12799,11486,10425,11233,13646,10967,10715
X-n613-k62.vrp,7311,7346,7335,7147,7328,7139,6837,8167,7028,7151
X-n627-k43.vrp,11899,11601,12033,12567,11906,11251,11472,12009,11444,13285
X-n641-k35.vrp,13578,12590,12191,11455,13403,11885,11534,12226,11371,13673
X-n655-k131.vrp,20410,24392,22929,22493,22876,22338,22430,22992,24587,22312
X-n670-k130.vrp,8263,8457,7296,8949,8327,7229,8649,9015,7791,8100
X-n685-k75.vrp,8613,8438,7633,8803,8111,7963,8360,8254,11063,8950
X-n701-k44.vrp,9556,9590,9156,10449,9282,10460,9029,9600,10881,10298
X-n716-k35.vrp,10546,11951,10819,10286,10182,10715,10302,10877,10209,10103
X-n733-k159.vrp,8410,7368,8080,7460,9076,8020,7792,8078,8182,8684
X-n749-k98.vrp,8268,8467,8317,7845,8675,9235,8345,8469,8040,8328
X-n766-k71.vrp,9104,9520,9340,9448,9325,9190,9062,9547,9043,9886
X-n783-k48.vrp,11318,11965,11702,11341,10772,11390,10688,11862,11865,12324
X-n801-k40.vrp,11224,11707,10657,10797,11425,12979,11016,10474,11389,11242
X-n819-k171.vrp,7464,9800,9625,7992,7886,7974,7657,7793,9549,9106
X-n837-k142.vrp,10679,10844,11044,10524,11594,10901,13130,11430,12834,11773
X-n856-k95.vrp,10604,11301,11424,12134,10924,11087,11504,10997,11544,11489
X-n876-k59.vrp,9804,10304,11045,10844,10232,10511,10764,10893,10531,10551
X-n895-k37.vrp,13350,12095,11172,11723,11116,11082,10235,10822,11149,10931
X-n916-k207.vrp,10985,10741,12243,14312,11957,11712,11969,10145,13508,12800
X-n936-k151.vrp,7225,7370,7818,7910,7537,7539,7759,7437,7663,7619
X-n957-k87.vrp,10995,11560,12822,10997,11954,11303,11488,11396,11267,11588
X-n979-k58.vrp,14168,14057,15630,15567,13792,15367,15718,14900,14480,14329
X-n1001-k43.vrp,9873,10371,9803,10260,9720,11147,10050,10325,10254,10292
